# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 16 03:46:30 2021
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
#
toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim
1065.01,7088246,KP,2458654.3479940,0.002094,-0.002094,0,2.1603440,0.0002760,-0.0002760,0,1.8288540,0.1448100,-0.1448100,0
1066.01,201604954,KP,2458657.8325370,0.001239,-0.001239,0,4.6061840,0.0003920,-0.0003920,0,3.1216430,0.0788770,-0.0788770,0
1067.01,201642601,KP,2459039.0509100,0.001492,-0.001492,0,3.1319587,0.0004013,-0.0004013,0,2.3341546,0.1606642,-0.1606642,0
1068.01,6663331,KP,2458656.6332310,0.001251,-0.001251,0,3.1803620,0.0002470,-0.0002470,0,2.1115210,0.1062580,-0.1062580,0
1069.01,31858843,KP,2458655.5789880,0.000396,-0.000396,0,2.9776920,0.0000740,-0.0000740,0,3.0800300,0.0247190,-0.0247190,0
107.01,92352620,KP,2459039.3358460,0.000386,-0.000386,0,3.9502009,0.0000016,-0.0000016,0,4.5643642,0.0181327,-0.0181327,0
1070.01,31858844,FP,2458655.5792410,0.000532,-0.000532,0,2.9776152,0.0000978,-0.0000978,0,3.2569700,0.0302260,-0.0302260,0
1071.01,120247528,KP,2458655.3959240,0.001083,-0.001083,0,3.5538140,0.0002370,-0.0002370,0,2.0565780,0.0482960,-0.0482960,0
1072.01,140830390,FP,2459211.7321460,0.002195,-0.002195,0,12.8379689,0.0031236,-0.0031236,0,9.8464123,0.1878411,-0.1878411,0
1073.01,158297421,CP,2459036.4728120,0.001293,-0.001293,0,3.9225465,0.0004137,-0.0004137,0,1.9170724,0.1049908,-0.1049908,0
1074.01,327301957,PC,2458662.6509640,0.003194,-0.003194,0,13.9427597,0.0001674,-0.0001674,0,3.7732511,0.3662606,-0.3662606,0
1075.01,351601843,PC,2458654.2500060,0.000748,-0.000748,0,0.6047427,0.0000071,-0.0000071,0,0.9882210,0.2762418,-0.2762418,0
1076.01,360742636,KP,2458654.1633630,0.000358,-0.000358,0,2.5495530,0.0000520,-0.0000520,0,2.5984490,0.0262250,-0.0262250,0
1077.01,369960846,PC,2459362.4676340,0.000795,-0.000795,0,1.6062803,0.0000038,-0.0000038,0,1.9759220,0.0660296,-0.0660296,0
1078.01,370133522,CP,2458654.1055590,0.000752,-0.000752,0,0.5182240,0.0000250,-0.0000250,0,0.7184410,0.2276640,-0.2276640,0
1079.01,379240073,PC,2458656.3827560,0.003137,-0.003137,0,3.1641470,0.0006070,-0.0006070,0,1.5988640,0.3080700,-0.3080700,0
108.01,289793076,KP,2458328.0838300,0.000439,-0.000439,0,3.0440541,0.0000043,-0.0000043,0,2.5984575,0.0611654,-0.0611654,0
1080.01,161032923,PC,2458654.0600340,0.003036,-0.003036,0,3.9653470,0.0006750,-0.0006750,0,0.9874540,0.3891390,-0.3891390,0
1081.01,253728991,PC,2458654.0261190,0.002567,-0.002567,0,2.9827800,0.0004420,-0.0004420,0,3.1095280,0.1106960,-0.1106960,0
1082.01,261108236,PC,2459165.5380130,0.004659,-0.004659,0,16.3469682,0.0002596,-0.0002596,0,3.8028602,0.3697074,-0.3697074,0
1083.01,322270620,PC,2458666.8700400,0.003261,-0.003261,0,12.9587870,0.0046610,-0.0046610,0,2.0131020,0.4402130,-0.4402130,0
1084.01,380589029,KP,2459361.9342650,0.000391,-0.000391,0,1.3484813,0.0000331,-0.0000331,0,2.4279964,0.0313166,-0.0313166,0
1085.01,381979901,APC,2459185.3423640,0.000186,-0.000186,0,3.2541190,0.0000011,-0.0000011,0,4.3830000,0.1130000,-0.1130000,0
1086.01,468148930,PC,2458655.2925330,0.001147,-0.001147,0,3.7178739,0.0000189,-0.0000189,0,5.4901064,0.1465228,-0.1465228,0
1087.01,426077080,FP,2458630.7719400,0.002800,-0.002800,0,9.3099200,0.0020900,-0.0020900,0,3.4640000,0.2320000,-0.2320000,0
1088.01,343648136,FA,2458626.3895500,0.002220,-0.002220,0,1.1539500,0.0001700,-0.0001700,0,2.2360000,0.1030000,-0.1030000,0
